Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"0",,H,"11673","1",308780.472865,2402694.240008,308796.095521,2402668.24628,"1",308788.284193,2402681.243144,30.327237,2.600426,HO
B,"0",,H,"11679","1",308210.567168,2402712.804392,308292.248768,2402649.244008,"1",308251.407968,2402681.0242,103.497856,2.23207,HO
B,"0",,H,"11708","1",308099.779488,2402762.50116,308155.906112,2402734.505512,"1",308127.8428,2402748.503336,62.721242,2.033479,HO
B,"0",,H,"11709","1",308155.906112,2402734.505512,308165.127104,2402731.205512,"1",308160.516608,2402732.855512,9.793707,1.914473,HV
B,"0",,H,"11710","1",308165.127104,2402731.205512,308205.501824,2402716.756712,"1",308185.314464,2402723.981112,42.882232,1.914463,HV
B,"0",,H,"11727","1",308721.626752,2402788.99684,308745.688865,2402751.748744,"1",308733.657808,2402770.372792,44.344176,2.568037,HO
B,"0",,H,"11728","1",308745.688865,2402751.748744,308774.907073,2402703.500904,"1",308760.297969,2402727.624824,56.405299,2.597076,HO
B,"0",,H,"11729","1",308774.907073,2402703.500904,308778.084577,2402698.214088,"1",308776.495825,2402700.857496,6.168221,2.60042,HO
B,"0",,H,"11730","1",308778.084577,2402698.214088,308780.472865,2402694.240008,"1",308779.278721,2402696.227048,4.636511,2.600463,HO
B,"0",,H,"11766","1",308716.594304,2402791.004616,308710.530432,2402837.243049,"1",308713.562368,2402814.123833,46.634357,3.011193,HP
B,"0",,H,"11767","1",308726.686592,2402839.252457,308737.686049,2402813.252328,"1",308732.18632,2402826.252392,28.231096,2.741371,HO
B,"0",,H,"11786","1",308397.66848,2402841.869801,308384.001088,2402846.745833,"1",308390.834784,2402844.307817,14.511144,1.913484,HV
B,"0",,H,"11787","1",308384.001088,2402846.745833,308384.001088,2402856.756041,"1",308384.001088,2402851.750937,10.010208,0,HP
B,"0",,H,"11788","1",308384.001088,2402856.756041,308375.063744,2402868.250665,"1",308379.532416,2402862.503353,14.560306,2.480708,HO
B,"0",,H,"11799","1",308713.16816,2402886.417129,308702.850048,2402878.337065,"1",308708.009104,2402882.377097,13.105376,0.906449,HO
B,"0",,H,"11800","1",308702.850048,2402878.337065,308557.120288,2402767.550344,"1",308629.985168,2402822.943704,183.059718,0.920786,HO
B,"0",,H,"11819","1",308255.247872,2402845.493737,308266.688064,2402898.994921,"1",308260.967968,2402872.244329,54.710645,0.210658,HP
B,"0",,H,"11820","1",308266.688064,2402898.994921,308270.592896,2402927.003529,"1",308268.64048,2402912.999225,28.279495,0.138523,HP
B,"0",,H,"11821","1",308275.628,2402937.246569,308316.187168,2402937.246825,"1",308295.907584,2402937.246697,40.559168,1.57079,HV
B,"0",,H,"11822","1",308316.187168,2402937.246825,308334.529312,2402935.253385,"1",308325.35824,2402936.250105,18.45015,1.679052,HV
B,"0",,H,"11830","1",308472.467008,2402950.501865,308498.564192,2402942.004585,"1",308485.5156,2402946.253225,27.445706,1.885572,HV
B,"0",,H,"11831","1",308498.564192,2402942.004585,308519.188864,2402941.000713,"1",308508.876528,2402941.502649,20.649088,1.619431,HV
B,"0",,H,"11857","1",308750.968705,2402966.245033,308754.749889,2402972.006665,"1",308752.859297,2402969.125849,6.891571,0.58077,HO
B,"0",,H,"11865","1",308786.938305,2402982.249929,308794.967585,2402990.253545,"1",308790.952945,2402986.251737,11.336984,0.786999,HO
B,"0",,H,"11866","1",308794.967585,2402990.253545,308803.329409,2402994.196233,"1",308799.148497,2402992.224889,9.244722,1.130199,HO
B,"0",,H,"11867","1",308803.329409,2402994.196233,308820.061249,2402992.245897,"1",308811.695329,2402993.221065,16.845126,1.686837,HV
B,"0",,H,"11868","1",308820.061249,2402992.245897,308837.248449,2402989.001193,"1",308828.654849,2402990.623545,17.490796,1.757386,HV
B,"0",,H,"11869","1",308754.749889,2402972.006665,308787.405569,2403000.000969,"1",308771.077729,2402986.003817,43.012492,0.862104,HO
B,"0",,H,"11870","1",308787.405569,2403000.000969,308790.476417,2403004.746409,"1",308788.940993,2403002.373689,5.652372,0.574345,HO
B,"0",,H,"11871","1",308790.476417,2403004.746409,308792.094721,2403007.244681,"1",308791.285569,2403005.995545,2.976621,0.574805,HO
B,"0",,H,"11873","1",308877.439169,2402990.252425,308900.470017,2403003.245705,"1",308888.954593,2402996.749065,26.443246,1.05714,HO
B,"0",,H,"11874","1",308900.470017,2403003.245705,308917.539489,2403015.030473,"1",308909.004753,2403009.138089,20.742411,0.966542,HO
B,"0",,H,"11875","0",308921.224961,2403016.276873,308932.996705,2402991.945929,"0",308927.110833,2403004.111401,27.029036,2.690974,HO
B,"0",,H,"11877","1",308804.101601,2403008.550665,308800.467873,2403018.755849,"1",308802.284737,2403013.653257,10.832809,2.799523,HP
B,"0",,H,"11893","1",308786.957537,2403030.623977,308790.251521,2403012.995401,"1",308788.604529,2403021.809689,17.933684,2.956868,HP
B,"0",,H,"11894","1",308790.251521,2403012.995401,308790.995745,2403010.673897,"1",308790.623633,2403011.834649,2.437878,2.831365,HP
B,"0",,H,"11895","1",308790.995745,2403010.673897,308792.094721,2403007.244681,"1",308791.545233,2403008.959289,3.60101,2.831459,HP
B,"0",,H,"11904","1",308256.155648,2403001.252265,308253.62576,2403053.253961,"1",308254.890704,2403027.253113,52.063199,3.092981,HP
B,"0",,H,"11908","1",308445.311232,2403040.246377,308448.157536,2403051.493577,"1",308446.734384,2403045.869977,11.601765,0.247864,HP
B,"0",,H,"11909","1",308448.157536,2403051.493577,308449.518528,2403057.314761,"1",308448.838032,2403054.404169,5.978167,0.229674,HP
B,"0",,H,"11910","1",308449.518528,2403057.314761,308450.69136,2403062.331401,"1",308450.104944,2403059.823081,5.151913,0.229663,HP
B,"0",,H,"11918","1",308253.62576,2403053.253961,308394.093376,2403064.501129,"1",308323.859568,2403058.877545,140.917174,1.490897,HV
B,"0",,H,"11919","1",308450.69136,2403062.331401,308451.841696,2403067.251657,"1",308451.266528,2403064.791529,5.052939,0.229671,HP
B,"0",,H,"11920","1",308451.841696,2403067.251657,308501.437824,2403063.497833,"1",308476.63976,2403065.374745,49.737985,1.64634,HV
B,"0",,H,"11934","1",308253.62576,2403053.253961,308252.030752,2403074.002313,"1",308252.828256,2403063.628137,20.809569,3.06487,HP
